Key,en,es,ar
Dashboard,Dashboard,Panel,لوحة القيادة
Default,Default,Por defecto,تقصير
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
Campaigns,Campaigns,Campañas,الحملات
Events,Events,Eventos,الأحداث
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!
Transactions & Log,Transactions & Log,Transacciones y registro,المعاملات والسجل
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة
Donation Logs,Donation Logs,Registros de donación,سجلات التبرع
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المسؤول
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول
Subscriber,Subscriber,Abonado,المشترك
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل
Settings,Settings,Ajustes,إعدادات
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Image Assets,Image Assets,Activos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configuración de SEO,إعداد SEO
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيق
Languages,Languages,Lenguas,اللغات
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
About Section,About Section,Acerca de la sección,حول القسم
Home Banner,Home,Hogar,لافتة المنزل
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادة
Video Section,Video Section,Sección de videos,قسم الفيديو
Partner Section,Partner Section,Sección de pareja,قسم الشريك
Footer Section,Footer Section,Sección de pies,قسم تذييل
Breadcrumb Section,Breadcrumb Section,Sección de pan de pan,قسم الخبز
Gallery Section,Gallery Section,Sección de la galería,قسم المعرض
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Category Type,Category Type,Tipo de categoría,نوع الفئة
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول
